Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,SLice,SLice max,SLice min,d18Osw,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),d18Osw (long),Temperature (long),Temperature max (long),Temperature min (long)
49.6,49.514,49.514,49.812,40.8,40.8,29.2,-0.45,14.09,15.74,11.73,48.75,48.44,40.59,-0.54,13.6,15.27,11.25
49.7,49.613,49.613,49.897,41.07,41.07,29.6,-0.45,13.94,15.59,11.57,48.36,47.95,39.88,-0.53,13.64,15.33,11.31
49.8,49.712,49.712,49.981,42.22,42.22,31.33,-0.46,13.71,15.37,11.34,47.99,47.5,39.21,-0.53,13.69,15.39,11.36
49.9,49.81,49.81,50.066,43.54,43.54,33.31,-0.48,13.54,15.2,11.16,47.65,47.08,38.6,-0.52,13.73,15.44,11.4
50,49.909,49.909,50.15,44.37,44.37,34.56,-0.49,13.46,15.13,11.08,47.34,46.73,38.08,-0.52,13.76,15.48,11.43
50.1,50.007,50.007,50.235,44.29,44.29,34.44,-0.49,13.5,15.17,11.11,47.07,46.44,37.66,-0.52,13.79,15.51,11.46
50.2,50.106,50.106,50.319,43.33,43.33,33,-0.48,13.62,15.29,11.23,46.86,46.24,37.35,-0.52,13.81,15.53,11.47
50.3,50.204,50.204,50.404,41.97,41.97,30.96,-0.46,13.76,15.44,11.37,46.71,46.11,37.16,-0.51,13.82,15.54,11.47
50.4,50.303,50.303,50.488,41.03,41.03,29.54,-0.45,13.92,15.6,11.52,46.61,46.06,37.09,-0.51,13.83,15.55,11.47
50.5,50.401,50.401,50.573,41.13,41.13,29.7,-0.45,14.13,15.82,11.73,46.56,46.09,37.13,-0.51,13.83,15.55,11.46
50.6,50.5,50.5,50.657,42.24,42.24,31.35,-0.46,14.34,16.03,11.93,46.57,46.17,37.26,-0.51,13.83,15.54,11.45
50.7,50.598,50.598,50.742,43.86,43.86,33.79,-0.48,14.51,16.2,12.09,46.61,46.3,37.45,-0.51,13.82,15.54,11.43
50.8,50.7,50.7,50.846,45.44,45.44,36.16,-0.5,14.63,16.33,12.21,46.69,46.47,37.71,-0.51,13.82,15.53,11.42
50.9,50.802,50.802,50.96,46.6,46.6,37.89,-0.51,14.66,16.36,12.24,46.8,46.67,38,-0.51,13.81,15.52,11.4
51,50.904,50.904,51.024,47.36,47.36,39.04,-0.52,14.55,16.25,12.12,46.94,46.88,38.32,-0.52,13.8,15.51,11.38
51.1,51.005,51.005,51.081,47.88,47.88,39.81,-0.53,14.33,16.03,11.89,47.1,47.11,38.66,-0.52,13.79,15.5,11.37
51.2,51.109,51.109,51.162,48.25,48.25,40.37,-0.53,14.02,15.73,11.59,47.3,47.35,39.03,-0.52,13.78,15.49,11.35
51.3,51.212,51.212,51.242,48.6,48.6,40.91,-0.53,13.61,15.32,11.17,47.53,47.6,39.41,-0.52,13.77,15.49,11.33
51.4,51.315,51.315,51.322,49.08,49.08,41.62,-0.54,13.16,14.87,10.71,47.79,47.87,39.8,-0.53,13.75,15.48,11.31
51.5,51.419,51.419,51.402,49.78,49.78,42.67,-0.55,12.88,14.59,10.43,48.09,48.15,40.22,-0.53,13.73,15.46,11.29
51.6,51.522,51.522,51.483,50.67,50.67,44.01,-0.56,12.89,14.61,10.43,48.42,48.45,40.67,-0.53,13.71,15.44,11.27
