Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,SLice,SLice max,SLice min,d18Osw,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),d18Osw (long),Temperature (long),Temperature max (long),Temperature min (long)
62.9,63.316,63.316,63.354,38.29,38.29,27.96,-0.42,11.58,13.68,8.58,49.18,49.77,43.22,-0.54,11.18,13.3,8.21
63,63.403,63.403,63.444,38.59,38.59,28.46,-0.42,11.65,13.75,8.65,48.56,48.95,42.17,-0.53,11.21,13.34,8.24
63.1,63.491,63.491,63.533,39.45,39.45,29.81,-0.43,11.72,13.83,8.72,47.96,48.14,41.12,-0.53,11.24,13.38,8.28
63.2,63.604,63.604,63.641,40.49,40.49,31.41,-0.45,11.78,13.88,8.77,47.38,47.34,40.12,-0.52,11.26,13.42,8.3
63.3,63.719,63.719,63.749,41.6,41.6,33.1,-0.46,11.76,13.87,8.74,46.84,46.59,39.18,-0.52,11.27,13.44,8.32
63.4,63.833,63.833,63.857,42.68,42.68,34.74,-0.47,11.64,13.76,8.62,46.36,45.9,38.34,-0.51,11.28,13.46,8.33
63.5,63.948,63.948,63.965,43.51,43.51,36,-0.48,11.48,13.59,8.45,45.94,45.31,37.63,-0.51,11.29,13.47,8.33
63.6,64.062,64.062,64.074,43.8,43.8,36.45,-0.48,11.37,13.49,8.34,45.61,44.83,37.09,-0.5,11.28,13.47,8.33
63.7,64.177,64.177,64.182,43.36,43.36,35.79,-0.48,11.42,13.54,8.39,45.38,44.49,36.74,-0.5,11.27,13.46,8.31
63.8,64.291,64.291,64.29,42.19,42.19,34.03,-0.46,11.61,13.74,8.57,45.26,44.32,36.59,-0.5,11.24,13.44,8.28
63.9,64.406,64.406,64.398,40.58,40.58,31.59,-0.45,11.88,14.01,8.84,45.26,44.3,36.66,-0.5,11.21,13.41,8.24
64,64.52,64.52,64.507,38.93,38.93,29.1,-0.43,12.11,14.24,9.06,45.36,44.45,36.94,-0.5,11.16,13.37,8.19
64.1,64.635,64.635,64.615,37.66,37.66,27.16,-0.41,12.11,14.25,9.06,45.58,44.76,37.41,-0.5,11.11,13.31,8.13
64.2,64.736,64.736,64.696,37.05,37.05,26.2,-0.41,11.83,13.97,8.77,45.89,45.19,38.05,-0.5,11.04,13.25,8.05
64.3,64.832,64.832,64.768,37.23,37.23,26.42,-0.41,11.39,13.53,8.32,46.28,45.74,38.81,-0.51,10.95,13.17,7.96
64.4,64.927,64.927,64.839,38.22,38.22,27.84,-0.42,10.95,13.1,7.89,46.72,46.35,39.67,-0.51,10.86,13.07,7.86
64.5,65.03,65.03,64.945,39.93,39.93,30.35,-0.44,10.69,12.84,7.61,47.21,47,40.57,-0.52,10.76,12.97,7.75
64.6,65.137,65.137,65.067,42.24,42.24,33.72,-0.46,10.62,12.77,7.54,47.71,47.66,41.47,-0.52,10.66,12.86,7.63
64.7,65.243,65.243,65.189,44.92,44.92,37.67,-0.49,10.65,12.8,7.57,48.21,48.29,42.34,-0.53,10.55,12.74,7.5
64.8,65.35,65.35,65.312,47.77,47.77,41.85,-0.53,10.67,12.83,7.58,48.68,48.89,43.14,-0.54,10.44,12.62,7.38
64.9,65.456,65.456,65.434,50.54,50.54,45.9,-0.56,10.65,12.81,7.56,49.12,49.44,43.87,-0.54,10.33,12.5,7.25
65,65.562,65.562,65.556,52.95,52.95,49.39,-0.58,10.5,12.67,7.4,49.51,49.93,44.51,-0.54,10.22,12.38,7.12
65.1,65.669,65.669,65.678,54.74,54.74,51.96,-0.6,10.24,12.41,7.14,49.84,50.37,45.06,-0.55,10.12,12.27,7
65.2,65.764,65.768,65.765,55.93,55.93,53.62,-0.62,10.02,12.19,6.91,50.11,50.74,45.52,-0.55,10.02,12.16,6.88
65.3,65.856,65.865,65.843,56.9,56.9,54.94,-0.63,9.87,12.04,6.76,50.33,51.05,45.88,-0.55,9.94,12.06,6.77
65.4,65.948,65.963,65.922,58.2,58.2,56.77,-0.64,9.88,12.06,6.76,50.49,51.3,46.15,-0.56,9.85,11.96,6.67
65.5,66.04,66.06,66.001,60.06,60.06,59.41,-0.66,9.74,11.92,6.62,50.6,51.48,46.31,-0.56,9.78,11.88,6.58
65.6,66.139,66.154,66.106,62.09,62.31,62.09,-0.68,9.38,11.57,6.26,50.66,51.59,46.37,-0.56,9.72,11.81,6.5
65.7,66.238,66.247,66.211,63.5,64.28,63.5,-0.7,8.98,11.17,5.85,50.67,51.63,46.33,-0.56,9.66,11.76,6.44
65.8,66.338,66.341,66.316,63.65,64.38,63.65,-0.7,8.58,10.77,5.45,50.65,51.6,46.18,-0.56,9.61,11.71,6.38
65.9,66.436,66.436,66.418,62.54,62.56,62.54,-0.69,8.19,10.39,5.06,50.57,51.49,45.92,-0.56,9.57,11.68,6.34
66,66.534,66.534,66.516,60.43,60.43,59.26,-0.66,7.92,10.12,4.78,50.46,51.31,45.55,-0.56,9.54,11.65,6.31
66.1,66.632,66.632,66.614,57.63,57.63,54.93,-0.63,7.83,10.03,4.68,50.31,51.05,45.07,-0.55,9.52,11.64,6.29
66.2,66.73,66.73,66.712,54.44,54.44,50.01,-0.6,7.99,10.19,4.84,50.12,50.74,44.5,-0.55,9.5,11.63,6.27
66.3,66.828,66.828,66.81,51.25,51.25,45.1,-0.56,8.51,10.72,5.35,49.91,50.36,43.86,-0.55,9.48,11.63,6.26
66.4,66.926,66.926,66.908,48.66,48.66,41.1,-0.54,9.1,11.32,5.94,49.68,49.95,43.16,-0.55,9.47,11.63,6.26
66.5,67.024,67.024,67.006,47.23,47.23,38.86,-0.52,9.57,11.79,6.41,49.44,49.51,42.44,-0.54,9.46,11.64,6.26
66.6,67.122,67.122,67.104,46.8,46.8,38.12,-0.51,9.82,12.04,6.65,49.2,49.08,41.72,-0.54,9.45,11.65,6.26
66.7,67.22,67.22,67.202,46.49,46.49,37.57,-0.51,9.83,12.05,6.66,48.98,48.66,41.04,-0.54,9.44,11.66,6.26
66.8,67.318,67.318,67.3,45.41,45.41,35.89,-0.5,9.75,11.98,6.57,48.8,48.29,40.43,-0.54,9.44,11.68,6.27
66.9,67.416,67.416,67.398,43.31,43.31,32.68,-0.48,9.76,11.99,6.58,48.65,47.98,39.92,-0.54,9.43,11.69,6.27
67,67.514,67.514,67.496,40.71,40.71,28.75,-0.45,9.89,12.13,6.7,48.55,47.75,39.53,-0.53,9.41,11.7,6.28
67.1,67.612,67.612,67.594,38.57,38.57,25.5,-0.42,10.06,12.29,6.86,48.5,47.61,39.26,-0.53,9.4,11.71,6.27
67.2,67.71,67.71,67.692,37.44,37.44,23.8,-0.41,10.21,12.45,7.01,48.51,47.57,39.15,-0.53,9.39,11.71,6.27
67.3,67.808,67.808,67.79,37.29,37.29,23.57,-0.41,10.28,12.52,7.08,48.55,47.62,39.17,-0.53,9.37,11.7,6.25
67.4,67.906,67.906,67.888,37.76,37.76,24.28,-0.42,10.28,12.52,7.07,48.64,47.76,39.32,-0.54,9.35,11.69,6.23
67.5,68.004,68.004,67.986,38.47,38.47,25.37,-0.42,10.25,12.5,7.04,48.75,47.97,39.59,-0.54,9.32,11.67,6.2
67.6,68.102,68.102,68.084,39.23,39.23,26.53,-0.43,10.22,12.48,7,48.9,48.26,39.96,-0.54,9.29,11.64,6.16
67.7,68.202,68.202,68.184,40.05,40.05,27.79,-0.44,10.14,12.4,6.92,49.07,48.59,40.41,-0.54,9.26,11.6,6.12
67.8,68.355,68.355,68.337,41.04,41.04,29.31,-0.45,9.98,12.24,6.75,49.27,48.96,40.92,-0.54,9.23,11.55,6.06
67.9,68.458,68.458,68.442,42.45,42.45,31.46,-0.47,9.78,12.04,6.55,49.5,49.37,41.49,-0.54,9.19,11.49,6
68,68.555,68.555,68.541,44.53,44.53,34.62,-0.49,9.52,11.79,6.29,49.75,49.79,42.08,-0.55,9.14,11.43,5.93
68.1,68.653,68.653,68.641,47.38,47.38,38.93,-0.52,9.23,11.5,5.98,50.03,50.22,42.71,-0.55,9.09,11.37,5.86
68.2,68.75,68.75,68.741,50.81,50.81,44.11,-0.56,8.93,11.2,5.68,50.32,50.66,43.35,-0.55,9.03,11.3,5.78
68.3,68.848,68.848,68.84,54.35,54.35,49.45,-0.6,8.64,10.92,5.39,50.61,51.1,43.99,-0.56,8.97,11.23,5.71
68.4,68.945,68.945,68.94,57.59,57.59,54.33,-0.63,8.37,10.65,5.11,50.9,51.52,44.62,-0.56,8.91,11.17,5.63
68.5,69.043,69.043,69.04,60.39,60.39,58.54,-0.66,8.15,10.43,4.88,51.18,51.92,45.22,-0.56,8.85,11.1,5.55
68.6,69.14,69.14,69.139,62.82,62.82,62.2,-0.69,7.98,10.27,4.72,51.43,52.29,45.78,-0.57,8.79,11.03,5.48
68.7,69.238,69.238,69.239,65,65.49,65,-0.72,7.85,10.14,4.58,51.66,52.62,46.28,-0.57,8.74,10.97,5.41
68.8,69.336,69.336,69.338,66.82,68.22,66.82,-0.74,7.73,10.03,4.46,51.86,52.89,46.7,-0.57,8.69,10.91,5.34
68.9,69.433,69.433,69.435,67.77,69.65,67.77,-0.75,7.66,9.96,4.38,52.02,53.1,47.02,-0.57,8.64,10.86,5.28
69,69.531,69.531,69.533,67.21,68.81,67.21,-0.74,7.68,9.98,4.39,52.14,53.23,47.24,-0.57,8.61,10.82,5.24
69.1,69.629,69.629,69.631,64.66,64.99,64.66,-0.71,7.81,10.11,4.52,52.22,53.29,47.34,-0.57,8.58,10.79,5.2
69.2,69.727,69.727,69.729,60.25,60.25,58.37,-0.66,8.07,10.38,4.77,52.25,53.28,47.32,-0.57,8.56,10.78,5.18
69.3,69.825,69.825,69.827,54.95,54.95,50.42,-0.6,8.4,10.71,5.1,52.25,53.18,47.19,-0.57,8.56,10.78,5.17
69.4,69.922,69.922,69.924,50.21,50.21,43.31,-0.55,8.69,11,5.38,52.2,53.01,46.95,-0.57,8.56,10.79,5.17
69.5,70.02,70.02,70.022,47.3,47.3,38.95,-0.52,8.85,11.17,5.54,52.11,52.77,46.61,-0.57,8.58,10.82,5.19
69.6,70.118,70.118,70.12,46.73,46.73,38.09,-0.51,8.82,11.14,5.51,51.98,52.47,46.19,-0.57,8.61,10.86,5.23
69.7,70.216,70.216,70.218,48.02,48.02,40.02,-0.53,8.61,10.93,5.29,51.83,52.13,45.71,-0.57,8.65,10.92,5.27
69.8,70.314,70.314,70.316,50.1,50.1,43.14,-0.55,8.33,10.66,5,51.65,51.76,45.19,-0.57,8.71,10.98,5.33
69.9,70.411,70.411,70.413,51.85,51.85,45.77,-0.57,8.12,10.45,4.79,51.46,51.38,44.66,-0.57,8.77,11.06,5.4
70,70.509,70.509,70.511,52.43,52.43,46.65,-0.58,8.07,10.4,4.74,51.27,51.01,44.14,-0.56,8.83,11.14,5.47
70.1,70.607,70.607,70.609,51.47,51.47,45.2,-0.57,8.2,10.53,4.86,51.08,50.66,43.66,-0.56,8.91,11.22,5.55
70.2,70.705,70.705,70.707,49.03,49.03,41.54,-0.54,8.49,10.83,5.15,50.91,50.36,43.26,-0.56,8.99,11.31,5.63
70.3,70.803,70.803,70.805,45.65,45.65,36.47,-0.5,8.86,11.2,5.51,50.77,50.11,42.94,-0.56,9.07,11.41,5.72
70.4,70.9,70.9,70.902,42.16,42.16,31.24,-0.46,9.24,11.58,5.89,50.67,49.94,42.72,-0.56,9.15,11.5,5.8
70.5,70.998,70.998,71,39.5,39.5,27.25,-0.43,9.5,11.85,6.14,50.61,49.84,42.63,-0.56,9.24,11.59,5.88
70.6,71.096,71.096,71.098,38.31,38.31,25.47,-0.42,9.66,12.01,6.3,50.61,49.83,42.66,-0.56,9.32,11.68,5.96
70.7,71.194,71.194,71.196,38.75,38.75,26.13,-0.43,9.71,12.07,6.35,50.67,49.92,42.82,-0.56,9.4,11.77,6.04
70.8,71.292,71.292,71.294,40.5,40.5,28.75,-0.45,9.7,12.06,6.33,50.79,50.1,43.11,-0.56,9.48,11.85,6.12
70.9,71.389,71.389,71.391,42.95,42.95,32.43,-0.47,9.69,12.05,6.31,50.98,50.36,43.53,-0.56,9.56,11.94,6.2
71,71.484,71.484,71.486,45.55,45.55,36.32,-0.5,9.78,12.14,6.4,51.23,50.7,44.05,-0.56,9.64,12.02,6.28
71.1,71.575,71.575,71.577,47.94,47.94,39.91,-0.53,9.87,12.24,6.49,51.54,51.11,44.67,-0.57,9.72,12.11,6.35
71.2,71.666,71.666,71.668,50.04,50.04,43.06,-0.55,9.99,12.37,6.6,51.91,51.57,45.36,-0.57,9.79,12.19,6.43
71.3,71.764,71.764,71.739,51.89,51.89,45.83,-0.57,10.12,12.49,6.72,52.32,52.08,46.11,-0.58,9.87,12.27,6.5
71.4,71.865,71.865,71.803,53.58,53.58,48.37,-0.59,10.23,12.61,6.83,52.76,52.61,46.91,-0.58,9.94,12.35,6.57
71.5,71.97,71.97,71.883,55.18,55.18,50.77,-0.61,10.31,12.69,6.91,53.23,53.16,47.74,-0.59,10,12.42,6.64
71.6,72.087,72.087,72.007,56.7,56.7,53.05,-0.62,10.37,12.75,6.96,53.71,53.72,48.58,-0.59,10.07,12.49,6.7
71.7,72.205,72.205,72.131,58.12,58.12,55.18,-0.64,10.37,12.76,6.95,54.19,54.3,49.44,-0.6,10.13,12.56,6.75
71.8,72.322,72.322,72.254,59.37,59.37,57.06,-0.65,10.34,12.73,6.92,54.68,54.88,50.31,-0.6,10.19,12.61,6.8
71.9,72.44,72.44,72.378,60.3,60.3,58.45,-0.66,10.31,12.7,6.88,55.17,55.45,51.18,-0.61,10.24,12.66,6.84
72,72.557,72.557,72.502,60.81,60.81,59.21,-0.67,10.3,12.7,6.87,55.64,56.02,52.04,-0.61,10.28,12.71,6.88
72.1,72.675,72.675,72.625,60.91,60.91,59.36,-0.67,10.32,12.72,6.89,56.11,56.57,52.86,-0.62,10.33,12.75,6.91
72.2,72.792,72.792,72.749,60.77,60.77,59.16,-0.67,10.39,12.8,6.95,56.56,57.08,53.62,-0.62,10.36,12.79,6.94
72.3,72.91,72.91,72.873,60.7,60.7,59.05,-0.67,10.49,12.9,7.04,56.98,57.54,54.31,-0.63,10.4,12.82,6.97
72.4,73.027,73.027,72.997,60.86,60.86,59.3,-0.67,10.56,12.98,7.11,57.37,57.94,54.91,-0.63,10.43,12.86,6.99
72.5,73.145,73.145,73.12,61.24,61.24,59.86,-0.67,10.61,13.03,7.16,57.71,58.27,55.4,-0.63,10.46,12.89,7.02
72.6,73.262,73.262,73.244,61.66,61.66,60.49,-0.68,10.65,13.07,7.2,58.01,58.53,55.79,-0.64,10.49,12.92,7.04
72.7,73.38,73.38,73.368,61.89,61.89,60.84,-0.68,10.65,13.07,7.19,58.25,58.71,56.07,-0.64,10.52,12.95,7.06
72.8,73.497,73.497,73.491,61.79,61.79,60.69,-0.68,10.61,13.03,7.14,58.44,58.84,56.26,-0.64,10.55,12.98,7.08
72.9,73.615,73.615,73.615,61.38,61.38,60.07,-0.68,10.57,13,7.1,58.57,58.9,56.35,-0.64,10.57,13,7.1
73,73.72,73.72,73.722,60.78,60.78,59.16,-0.67,10.54,12.97,7.06,58.67,58.92,56.38,-0.65,10.6,13.03,7.12
73.1,73.819,73.819,73.821,60.14,60.14,58.21,-0.66,10.52,12.95,7.03,58.73,58.9,56.35,-0.65,10.62,13.06,7.14
73.2,73.918,73.918,73.92,59.57,59.57,57.35,-0.66,10.51,12.95,7.03,58.76,58.86,56.29,-0.65,10.64,13.08,7.16
73.3,74.028,74.028,74.03,59.06,59.06,56.6,-0.65,10.54,12.99,7.05,58.78,58.8,56.2,-0.65,10.65,13.1,7.17
73.4,74.131,74.131,74.098,58.56,58.56,55.84,-0.64,10.58,13.03,7.09,58.79,58.74,56.11,-0.65,10.67,13.12,7.18
73.5,74.232,74.232,74.156,58,58,55,-0.64,10.63,13.08,7.13,58.79,58.69,56.03,-0.65,10.68,13.14,7.19
73.6,74.331,74.331,74.223,57.39,57.39,54.09,-0.63,10.69,13.14,7.18,58.78,58.65,55.96,-0.65,10.68,13.15,7.19
73.7,74.424,74.424,74.318,56.8,56.8,53.2,-0.62,10.74,13.2,7.23,58.76,58.61,55.9,-0.65,10.69,13.16,7.2
73.8,74.518,74.518,74.414,56.28,56.28,52.42,-0.62,10.78,13.24,7.27,58.71,58.58,55.86,-0.65,10.69,13.17,7.2
73.9,74.612,74.612,74.51,55.88,55.88,51.82,-0.61,10.83,13.29,7.31,58.64,58.55,55.8,-0.65,10.69,13.17,7.19
74,74.705,74.705,74.605,55.6,55.6,51.4,-0.61,10.91,13.38,7.39,58.52,58.5,55.72,-0.64,10.7,13.18,7.19
74.1,74.799,74.799,74.701,55.47,55.47,51.2,-0.61,10.96,13.43,7.44,58.34,58.41,55.58,-0.64,10.7,13.18,7.18
74.2,74.893,74.893,74.796,55.54,55.54,51.31,-0.61,10.98,13.45,7.45,58.09,58.27,55.36,-0.64,10.71,13.18,7.18
74.3,74.987,74.987,74.892,55.84,55.84,51.77,-0.61,10.97,13.45,7.44,57.78,58.07,55.04,-0.64,10.72,13.19,7.18
74.4,75.08,75.08,74.987,56.37,56.37,52.55,-0.62,10.94,13.42,7.4,57.38,57.78,54.61,-0.63,10.74,13.2,7.18
74.5,75.174,75.174,75.083,56.97,56.97,53.46,-0.63,10.89,13.37,7.34,56.91,57.41,54.04,-0.63,10.76,13.22,7.19
74.6,75.268,75.268,75.178,57.49,57.49,54.23,-0.63,10.84,13.32,7.29,56.38,56.95,53.35,-0.62,10.79,13.24,7.21
74.7,75.361,75.361,75.274,57.81,57.81,54.72,-0.64,10.8,13.29,7.24,55.77,56.4,52.53,-0.61,10.82,13.28,7.23
74.8,75.455,75.455,75.369,58.07,58.07,55.11,-0.64,10.76,13.25,7.2,55.12,55.78,51.6,-0.61,10.86,13.31,7.26
74.9,75.549,75.549,75.465,58.6,58.6,55.9,-0.64,10.69,13.19,7.13,54.43,55.09,50.56,-0.6,10.9,13.36,7.29
75,75.643,75.643,75.56,59.73,59.73,57.59,-0.66,10.58,13.08,7.01,53.72,54.36,49.46,-0.59,10.95,13.41,7.33
75.1,75.736,75.736,75.656,61.49,61.49,60.23,-0.68,10.43,12.94,6.86,53.01,53.59,48.3,-0.58,11.01,13.46,7.38
75.2,75.83,75.83,75.751,63.44,63.44,63.16,-0.7,10.33,12.84,6.75,52.3,52.8,47.12,-0.58,11.07,13.51,7.42
75.3,75.924,75.924,75.847,64.79,65.18,64.79,-0.71,10.26,12.77,6.67,51.62,52.02,45.94,-0.57,11.13,13.59,7.49
75.4,76.017,76.017,75.942,64.84,65.26,64.84,-0.71,10.26,12.77,6.67,50.98,51.25,44.8,-0.56,11.18,13.65,7.55
75.5,76.111,76.111,76.038,63.28,63.28,62.92,-0.7,10.34,12.86,6.74,50.4,50.53,43.71,-0.55,11.23,13.71,7.6
75.6,76.205,76.205,76.133,60.11,60.11,58.16,-0.66,10.51,13.03,6.91,49.87,49.85,42.7,-0.55,11.28,13.77,7.65
75.7,76.299,76.299,76.229,55.59,55.59,51.39,-0.61,10.79,13.31,7.19,49.4,49.24,41.78,-0.54,11.32,13.83,7.7
75.8,76.392,76.392,76.325,50.16,50.16,43.24,-0.55,11.15,13.68,7.54,49,48.69,40.96,-0.54,11.37,13.88,7.75
75.9,76.486,76.486,76.42,44.37,44.37,34.56,-0.49,11.55,14.08,7.94,48.65,48.21,40.23,-0.54,11.42,13.94,7.8
76,76.58,76.58,76.516,39,39,26.5,-0.43,11.92,14.45,8.3,48.35,47.79,39.61,-0.53,11.47,14,7.85
76.1,76.673,76.673,76.611,34.77,34.77,20.15,-0.38,12.19,14.73,8.57,48.08,47.43,39.07,-0.53,11.52,14.06,7.9
76.2,76.767,76.767,76.707,32,32,15.99,-0.35,12.35,14.89,8.72,47.84,47.12,38.61,-0.53,11.57,14.12,7.95
76.3,76.861,76.861,76.802,30.63,30.63,13.95,-0.34,12.41,14.95,8.77,47.61,46.84,38.2,-0.52,11.62,14.18,8
76.4,76.955,76.955,76.898,30.43,30.43,13.65,-0.33,12.4,14.94,8.76,47.39,46.6,37.84,-0.52,11.68,14.24,8.06
76.5,77.048,77.048,76.993,31.06,31.06,14.58,-0.34,12.35,14.9,8.7,47.17,46.38,37.51,-0.52,11.73,14.31,8.11
76.6,77.142,77.142,77.089,32.23,32.23,16.35,-0.35,12.27,14.83,8.62,46.95,46.17,37.22,-0.52,11.79,14.37,8.17
76.7,77.236,77.236,77.184,33.79,33.79,18.68,-0.37,12.18,14.73,8.52,46.73,45.99,36.95,-0.51,11.85,14.44,8.23
76.8,77.329,77.329,77.28,35.65,35.65,21.48,-0.39,12.05,14.61,8.4,46.53,45.84,36.73,-0.51,11.9,14.5,8.29
76.9,77.423,77.423,77.375,37.92,37.92,24.88,-0.42,11.92,14.48,8.26,46.35,45.72,36.56,-0.51,11.96,14.57,8.35
77,77.517,77.517,77.471,40.69,40.69,29.04,-0.45,11.76,14.32,8.09,46.21,45.65,36.46,-0.51,12.02,14.64,8.41
77.1,77.611,77.611,77.566,43.93,43.93,33.89,-0.48,11.56,14.13,7.89,46.13,45.66,36.47,-0.51,12.08,14.71,8.46
77.2,77.704,77.704,77.662,47.36,47.36,39.04,-0.52,11.36,13.93,7.68,46.11,45.74,36.6,-0.51,12.14,14.77,8.52
77.3,77.798,77.798,77.757,50.65,50.65,43.97,-0.56,,,,46.18,45.92,36.87,-0.51,,,
77.4,77.892,77.892,77.853,53.59,53.59,48.39,-0.59,,,,46.33,46.19,37.29,-0.51,12.26,,
77.5,77.985,77.985,77.948,56.16,56.16,52.25,-0.62,,,,46.59,46.56,37.84,-0.51,12.31,,
77.6,78.079,78.079,78.044,58.34,58.34,55.51,-0.64,,,,46.93,47.02,38.53,-0.52,12.37,,
77.7,78.173,78.173,78.139,59.84,59.84,57.76,-0.66,,,,47.36,47.54,39.32,-0.52,12.43,,
77.8,78.267,78.267,78.235,60.2,60.2,58.3,-0.66,,,,47.86,48.12,40.18,-0.53,12.49,,
77.9,78.36,78.36,78.331,59.04,59.04,56.56,-0.65,,,,48.41,48.73,41.09,-0.53,12.55,,
78,78.454,78.454,78.426,56.43,56.43,52.65,-0.62,,,,48.99,49.34,42.01,-0.54,12.61,,
78.1,78.548,78.548,78.522,53.02,53.02,47.53,-0.58,,,,49.59,49.94,42.91,-0.55,12.67,,
78.2,78.641,78.641,78.617,49.64,49.64,42.46,-0.55,,,,50.18,50.51,43.76,-0.55,12.72,,
78.3,78.735,78.735,78.713,46.95,46.95,38.42,-0.52,,,,50.75,51.03,44.54,-0.56,12.78,,
78.4,78.829,78.829,78.808,45.26,45.26,35.89,-0.5,,,,51.28,51.5,45.25,-0.56,12.84,,
78.5,78.923,78.923,78.904,44.56,44.56,34.84,-0.49,,,,51.76,51.91,45.86,-0.57,12.92,,
78.6,79.016,79.016,78.999,44.75,44.75,35.12,-0.49,,,,52.19,52.26,46.39,-0.57,13.01,,
78.7,79.11,79.11,79.095,45.7,45.7,36.55,-0.5,,,,52.58,52.56,46.85,-0.58,13.09,,
78.8,79.204,79.204,79.19,47.24,47.24,38.85,-0.52,,,,52.91,52.82,47.23,-0.58,13.18,,
78.9,79.297,79.297,79.286,49.08,49.08,41.63,-0.54,,,,53.21,53.05,47.57,-0.59,13.28,,
79,79.391,79.391,79.381,50.91,50.91,44.37,-0.56,,,,53.48,53.26,47.89,-0.59,13.39,,
79.1,79.485,79.485,79.477,52.47,52.47,46.7,-0.58,,,,53.73,53.46,48.2,-0.59,13.51,,
79.2,79.579,79.579,79.572,53.64,53.64,48.46,-0.59,,,,53.98,53.68,48.52,-0.59,13.62,,
79.3,79.672,79.672,79.668,54.47,54.47,49.71,-0.6,,,,54.23,53.93,48.89,-0.6,13.73,,
79.4,79.766,79.766,79.763,55.1,55.1,50.65,-0.61,,,,54.49,54.21,49.32,-0.6,13.83,,
79.5,79.86,79.86,79.859,55.62,55.62,51.43,-0.61,,,,54.78,54.54,49.81,-0.6,13.92,,
79.6,79.957,79.957,79.945,56.1,56.1,52.15,-0.62,,,,55.1,54.91,50.37,-0.61,13.99,,
79.7,80.056,80.056,80.024,56.56,56.56,52.83,-0.62,,,,55.46,55.34,51.01,-0.61,14.06,,
79.8,80.156,80.156,80.104,56.99,56.99,53.48,-0.63,,,,55.85,55.8,51.7,-0.61,14.12,,
79.9,80.255,80.255,80.183,57.4,57.4,54.11,-0.63,,,,56.27,56.3,52.44,-0.62,14.17,,
80,80.355,80.355,80.262,57.8,57.8,54.7,-0.64,,,,56.72,56.81,53.21,-0.62,14.22,,
80.1,80.454,80.454,80.341,58.19,58.19,55.29,-0.64,,,,57.19,57.32,53.99,-0.63,14.26,,
80.2,80.554,80.554,80.42,58.57,58.57,55.86,-0.64,,,,57.66,57.83,54.75,-0.63,14.31,,
80.3,80.654,80.654,80.499,58.95,58.95,56.43,-0.65,,,,58.13,58.32,55.48,-0.64,14.35,,
80.4,80.753,80.753,80.579,59.33,59.33,56.99,-0.65,,,,58.58,58.78,56.17,-0.64,14.38,,
80.5,80.853,80.853,80.658,59.7,59.7,57.56,-0.66,,,,59.01,59.21,56.81,-0.65,14.42,,
80.6,80.952,80.952,80.737,60.08,60.08,58.12,-0.66,,,,59.4,59.6,57.39,-0.65,14.46,,
80.7,81.052,81.052,80.816,60.45,60.45,58.68,-0.66,,,,59.77,59.95,57.93,-0.66,14.5,,
80.8,81.151,81.151,80.895,60.83,60.83,59.24,-0.67,,,,60.09,60.28,58.41,-0.66,14.52,,
80.9,81.251,81.251,80.975,61.2,61.2,59.8,-0.67,,,,60.36,60.56,58.84,-0.66,14.55,,
81,81.35,81.35,81.054,61.58,61.58,60.37,-0.68,,,,60.6,60.81,59.2,-0.67,14.58,,
81.1,81.45,81.45,81.133,61.95,61.95,60.93,-0.68,,,,60.78,61.02,59.52,-0.67,14.62,,
81.2,81.55,81.55,81.212,62.31,62.31,61.47,-0.69,,,,60.92,61.18,59.76,-0.67,14.66,,
81.3,81.649,81.649,81.291,62.63,62.63,61.94,-0.69,,,,61,61.3,59.94,-0.67,14.72,,
81.4,81.749,81.749,81.37,62.87,62.87,62.3,-0.69,,,,61.04,61.37,60.03,-0.67,14.78,,
81.5,81.848,81.848,81.45,63.01,63.01,62.51,-0.69,,,,61.02,61.38,60.05,-0.67,14.85,,
81.6,81.948,81.948,81.529,63.06,63.06,62.59,-0.69,,,,60.96,61.34,59.98,-0.67,14.92,,
81.7,82.047,82.047,81.608,63.05,63.05,62.58,-0.69,,,,60.86,61.24,59.83,-0.67,15,,
81.8,82.147,82.147,81.687,63.02,63.02,62.52,-0.69,,,,60.72,61.1,59.6,-0.67,15.09,,
81.9,82.246,82.246,81.766,63,63,62.49,-0.69,,,,60.55,60.9,59.31,-0.67,15.2,,
82,82.346,82.346,81.846,63.05,63.05,62.56,-0.69,,,,60.36,60.68,58.96,-0.66,15.34,,
82.1,82.445,82.445,81.925,63.19,63.19,62.77,-0.7,,,,60.15,60.42,58.57,-0.66,15.51,,
82.2,82.545,82.545,82.004,63.39,63.39,63.05,-0.7,,,,59.94,60.15,58.15,-0.66,15.72,,
82.3,82.645,82.645,82.083,63.52,63.52,63.24,-0.7,,,,59.72,59.87,57.72,-0.66,15.98,,
82.4,82.744,82.744,82.162,63.37,63.37,63,-0.7,,,,59.51,59.59,57.3,-0.65,16.3,,
82.5,82.844,82.844,82.242,62.81,62.81,62.14,-0.69,,,,59.32,59.33,56.88,-0.65,16.64,,
82.6,82.943,82.943,82.321,61.84,61.84,60.68,-0.68,,,,59.13,59.08,56.49,-0.65,16.98,,
82.7,83.043,83.043,82.4,60.58,60.58,58.77,-0.67,,,,58.96,58.84,56.13,-0.65,17.07,,
82.8,83.142,83.142,82.479,59.14,59.14,56.6,-0.65,,,,58.81,58.63,55.8,-0.65,17.16,,
