age_GTS2020,age_GTS2020,age_GTS2020,age_GTS2020,age_W2020,temp_benthic,d18Osw_raw,d18Osw_pH
8.37,8.37,8.37,8.37,8.37,6.498862931,0.618643339,0.496274124
8.469,8.47,8.47,8.47,8.47,6.558747992,0.620100781,0.495987139
8.569,8.57,8.57,8.57,8.57,6.618810562,0.622144038,0.497498267
8.668,8.67,8.67,8.67,8.67,6.675911449,0.62396527,0.498187445
8.768,8.77,8.77,8.77,8.77,6.728706092,0.625957135,0.498962803
8.867,8.87,8.87,8.87,8.87,6.778974534,0.626943057,0.498779736
8.965,8.97,8.97,8.97,8.97,6.824310768,0.628456682,0.499027751
9.064,9.07,9.07,9.07,9.07,6.87616304,0.629918513,0.499542264
9.166,9.17,9.17,9.17,9.17,6.924265951,0.630171728,0.498980842
9.269,9.27,9.27,9.27,9.27,6.966764315,0.631575244,0.498407729
9.362,9.37,9.37,9.37,9.37,7.01066163,0.631301091,0.497516999
9.458,9.47,9.47,9.47,9.47,7.050399665,0.631807375,0.496957504
9.57,9.57,9.57,9.57,9.57,7.091289193,0.633226345,0.49675723
9.675,9.67,9.67,9.67,9.67,7.131308474,0.633875573,0.494047008
9.764,9.77,9.77,9.77,9.77,7.16590736,0.634676707,0.493389937
9.865,9.87,9.87,9.87,9.87,7.198679962,0.634760745,0.49155088
9.971,9.97,9.97,9.97,9.97,7.228312871,0.63449743,0.490420627
10.071,10.07,10.07,10.07,10.07,7.262480904,0.634415574,0.489672338
10.17,10.17,10.17,10.17,10.17,7.293081483,0.633749898,0.488370399
10.268,10.27,10.27,10.27,10.27,7.322924369,0.634120814,0.488154532
10.366,10.37,10.37,10.37,10.37,7.350371248,0.634222757,0.487441609
10.464,10.47,10.47,10.47,10.47,7.380405662,0.632173937,0.484458575
10.563,10.57,10.57,10.57,10.57,7.407231803,0.630609598,0.483157605
10.661,10.67,10.67,10.67,10.67,7.434630163,0.629975789,0.479816579
10.759,10.77,10.77,10.77,10.77,7.465360834,0.629451617,0.477545697
10.857,10.87,10.87,10.87,10.87,7.489932538,0.630299288,0.474775091
10.956,10.97,10.97,10.97,10.97,7.521267857,0.62885614,0.47155408
11.052,11.07,11.07,11.07,11.07,7.539167672,0.627402948,0.468174632
11.139,11.17,11.17,11.17,11.17,7.556691791,0.627684523,0.46636188
11.235,11.27,11.27,11.27,11.27,7.579610539,0.626861209,0.465699719
11.334,11.37,11.37,11.37,11.37,7.598408219,0.626311458,0.462389527
11.433,11.47,11.47,11.47,11.47,7.612233152,0.623925614,0.458959933
11.532,11.57,11.57,11.57,11.57,7.626722638,0.622622204,0.457038479
11.627,11.67,11.67,11.67,11.67,7.645557728,0.621238968,0.453835705
11.729,11.77,11.77,11.77,11.77,7.654865061,0.620372352,0.45103528
