Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
43.1,43.723,43.717,43.803,10.25,11.57,7.93,-0.806,-0.66,-1.033,10.58,11.87,8.28,-0.758,-0.616,-0.982
43.2,43.812,43.807,43.911,10.22,11.47,7.92,-0.821,-0.693,-1.054,10.63,11.92,8.32,-0.756,-0.616,-0.978
43.3,43.901,43.896,44.02,10.3,11.57,8.03,-0.819,-0.688,-1.027,10.69,11.98,8.37,-0.753,-0.614,-0.973
43.4,43.99,43.985,44.128,10.51,11.79,8.22,-0.797,-0.667,-1.001,10.75,12.04,8.43,-0.751,-0.611,-0.97
43.5,44.079,44.075,44.236,10.76,12.05,8.45,-0.768,-0.635,-0.964,10.81,12.11,8.48,-0.75,-0.609,-0.967
43.6,44.168,44.164,44.344,10.99,12.26,8.66,-0.74,-0.588,-0.929,10.87,12.17,8.53,-0.75,-0.606,-0.965
43.7,44.257,44.253,44.453,11.17,12.47,8.85,-0.708,-0.56,-0.904,10.92,12.23,8.58,-0.75,-0.604,-0.966
43.8,44.346,44.343,44.561,11.3,12.59,8.94,-0.67,-0.547,-0.887,10.97,12.29,8.61,-0.752,-0.602,-0.968
43.9,44.435,44.432,44.669,11.41,12.71,9.03,-0.629,-0.523,-0.868,11.01,12.35,8.63,-0.754,-0.6,-0.972
44,44.525,44.521,44.778,11.49,12.8,9.1,-0.611,-0.504,-0.868,11.04,12.4,8.64,-0.756,-0.598,-0.979
44.1,44.614,44.611,44.886,11.52,12.84,9.14,-0.634,-0.514,-0.883,11.06,12.45,8.63,-0.759,-0.596,-0.988
44.2,44.703,44.7,44.994,11.5,12.81,9.12,-0.694,-0.537,-0.921,11.07,12.49,8.62,-0.764,-0.595,-0.999
44.3,44.792,44.789,45.102,11.41,12.72,9.04,-0.778,-0.583,-0.965,11.06,12.53,8.58,-0.771,-0.596,-1.014
44.4,44.881,44.879,45.211,11.3,12.63,8.91,-0.846,-0.629,-1.006,11.04,12.55,8.52,-0.781,-0.6,-1.033
44.5,44.97,44.968,45.319,11.17,12.5,8.77,-0.878,-0.66,-1.034,11,12.55,8.44,-0.796,-0.606,-1.056
44.6,45.059,45.057,45.427,11.01,12.37,8.59,-0.878,-0.681,-1.06,10.94,12.54,8.35,-0.815,-0.616,-1.083
44.7,45.148,45.147,45.536,10.88,12.41,8.36,-0.851,-0.64,-1.105,10.86,12.51,8.24,-0.839,-0.63,-1.114
44.8,45.237,45.236,45.644,10.77,12.52,8.1,-0.819,-0.604,-1.139,10.78,12.47,8.13,-0.867,-0.647,-1.147
44.9,45.327,45.326,45.752,10.71,12.63,7.87,-0.8,-0.585,-1.175,10.69,12.42,8.02,-0.897,-0.666,-1.181
45,45.416,45.415,45.86,10.69,12.7,7.73,-0.803,-0.586,-1.195,10.61,12.37,7.92,-0.927,-0.688,-1.215
45.1,45.505,45.504,45.969,10.67,12.66,7.69,-0.826,-0.607,-1.208,10.54,12.32,7.84,-0.957,-0.71,-1.246
45.2,45.594,45.594,46.077,10.44,12.4,7.59,-0.9,-0.679,-1.244,10.49,12.29,7.77,-0.984,-0.731,-1.276
45.3,45.683,45.683,46.185,10.19,12.2,7.38,-0.982,-0.726,-1.305,10.45,12.26,7.73,-1.007,-0.752,-1.302
45.4,45.77,45.77,46.279,,,,,,,10.43,,,-1.028,,
45.5,45.856,45.856,46.359,9.7,11.96,6.7,-1.136,-0.792,-1.494,10.44,12.25,7.71,-1.046,-0.79,-1.342
45.6,45.943,45.943,46.44,9.69,11.96,6.69,-1.17,-0.809,-1.503,10.46,12.26,7.74,-1.06,-0.806,-1.356
45.7,46.029,46.029,46.521,9.74,11.83,6.85,-1.207,-0.855,-1.502,10.5,12.29,7.79,-1.073,-0.819,-1.367
45.8,46.115,46.115,46.602,9.81,11.68,7.08,-1.253,-0.927,-1.518,10.56,12.33,7.86,-1.082,-0.83,-1.373
45.9,46.201,46.201,46.682,9.96,11.64,7.37,-1.298,-0.97,-1.531,10.64,12.39,7.96,-1.089,-0.838,-1.376
46,46.287,46.287,46.763,10.27,11.76,7.79,-1.293,-1.031,-1.519,10.74,12.47,8.08,-1.092,-0.843,-1.375
46.1,46.373,46.373,46.844,10.66,12.1,8.22,-1.224,-0.998,-1.449,10.86,12.56,8.21,-1.092,-0.845,-1.371
46.2,46.459,46.459,46.924,11,12.41,8.55,-1.145,-0.965,-1.394,11,12.66,8.37,-1.087,-0.844,-1.365
46.3,46.545,46.545,47.005,11.23,12.7,8.75,-1.089,-0.931,-1.348,11.16,12.79,8.54,-1.078,-0.839,-1.355
46.4,46.631,46.631,47.086,11.34,12.84,8.85,-1.062,-0.904,-1.333,11.33,12.93,8.72,-1.066,-0.833,-1.344
46.5,46.717,46.717,47.167,11.49,12.96,9,-1.044,-0.87,-1.306,11.51,13.09,8.91,-1.053,-0.826,-1.334
46.6,46.803,46.803,47.247,11.78,13.24,9.27,-0.995,-0.818,-1.253,11.68,13.25,9.08,-1.041,-0.818,-1.324
46.7,46.889,46.889,47.328,12.16,13.62,9.61,-0.929,-0.745,-1.181,11.85,13.41,9.24,-1.029,-0.811,-1.318
46.8,46.975,46.975,47.409,12.52,14,9.89,-0.869,-0.669,-1.136,12,13.56,9.39,-1.021,-0.804,-1.314
46.9,47.061,47.061,47.49,12.73,14.27,10.05,-0.84,-0.604,-1.136,12.14,13.71,9.5,-1.014,-0.798,-1.313
47,47.147,47.147,47.57,12.78,14.34,10.11,-0.847,-0.584,-1.174,12.26,13.85,9.6,-1.011,-0.793,-1.316
47.1,47.233,47.233,47.651,12.75,14.32,10.07,-0.88,-0.611,-1.236,12.35,13.97,9.66,-1.012,-0.79,-1.324
47.2,47.319,47.319,47.732,12.72,14.29,10.04,-0.927,-0.693,-1.294,12.42,14.08,9.7,-1.016,-0.789,-1.335
47.3,47.407,47.407,47.813,12.74,14.27,10.06,-0.984,-0.796,-1.328,12.42,14.12,9.67,-1.033,-0.798,-1.359
47.4,47.496,47.496,47.895,12.78,14.32,10.13,-1.031,-0.856,-1.35,12.42,14.16,9.64,-1.049,-0.808,-1.382
47.5,47.585,47.585,47.977,12.84,14.43,10.17,-1.066,-0.875,-1.386,12.44,14.22,9.64,-1.061,-0.813,-1.401
47.6,47.675,47.675,48.059,12.9,14.63,10.08,-1.09,-0.852,-1.428,12.45,14.27,9.62,-1.075,-0.821,-1.423
47.7,47.764,47.764,48.141,12.86,14.8,9.87,-1.116,-0.82,-1.479,12.46,14.32,9.59,-1.091,-0.831,-1.445
47.8,47.853,47.853,48.223,12.71,14.75,9.69,-1.131,-0.846,-1.485,12.46,14.36,9.57,-1.106,-0.84,-1.465
47.9,47.942,47.942,48.305,12.52,14.61,9.49,-1.159,-0.877,-1.519,12.47,14.4,9.54,-1.118,-0.848,-1.481
