Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
3.6,3.6,3.6,3.6,3.73,5.15,2.1,-0.045,0.315,-0.438,4.04,5.39,2.46,0.032,0.398,-0.334
3.7,3.7,3.7,3.7,3.82,5.19,2.26,-0.055,0.301,-0.43,4.13,5.47,2.57,0.032,0.394,-0.331
3.8,3.8,3.8,3.8,3.94,5.25,2.43,-0.059,0.288,-0.413,4.23,5.56,2.68,0.037,0.394,-0.323
3.9,3.9,3.9,3.9,4.04,5.3,2.57,-0.06,0.284,-0.398,4.34,5.65,2.8,0.046,0.398,-0.313
4,4,4,4,4.12,5.35,2.69,-0.059,0.277,-0.387,4.45,5.75,2.93,0.057,0.404,-0.3
4.1,4.1,4.1,4.1,4.23,5.46,2.81,-0.051,0.284,-0.369,4.57,5.86,3.06,0.071,0.414,-0.284
4.2,4.2,4.2,4.2,4.37,5.63,2.92,-0.025,0.312,-0.351,4.69,5.97,3.19,0.087,0.427,-0.267
4.3,4.3,4.3,4.3,4.58,5.84,3.12,0.023,0.358,-0.31,4.82,6.09,3.33,0.104,0.443,-0.248
4.4,4.4,4.4,4.4,4.9,6.12,3.42,0.099,0.424,-0.24,4.94,6.21,3.46,0.122,0.46,-0.229
4.5,4.5,4.5,4.5,5.26,6.43,3.79,0.19,0.494,-0.155,5.06,6.32,3.58,0.14,0.479,-0.211
4.6,4.6,4.6,4.6,5.6,6.8,4.19,0.272,0.575,-0.074,5.18,6.44,3.7,0.158,0.498,-0.193
4.7,4.7,4.7,4.7,5.84,7.09,4.38,0.324,0.637,-0.038,5.28,6.54,3.8,0.175,0.515,-0.178
4.8,4.8,4.8,4.8,5.95,7.21,4.46,0.333,0.664,-0.027,5.36,6.63,3.88,0.19,0.531,-0.165
4.9,4.9,4.9,4.9,5.95,7.19,4.47,0.312,0.655,-0.043,5.43,6.7,3.95,0.203,0.545,-0.154
5,5,5,5,5.92,7.13,4.47,0.282,0.629,-0.064,5.49,6.76,4,0.214,0.556,-0.145
5.1,5.1,5.1,5.1,5.93,7.14,4.47,0.269,0.632,-0.079,5.53,6.8,4.04,0.222,0.563,-0.139
5.2,5.2,5.2,5.2,6,7.2,4.51,0.281,0.638,-0.071,5.55,6.83,4.06,0.228,0.568,-0.135
5.3,5.3,5.3,5.299,6.01,7.33,4.5,0.292,0.668,-0.075,5.57,6.84,4.07,0.23,0.569,-0.133
5.4,5.4,5.4,5.398,5.91,7.29,4.34,0.281,0.663,-0.106,5.56,6.83,4.07,0.229,0.567,-0.133
5.5,5.5,5.5,5.497,5.67,7.11,4.07,0.245,0.624,-0.157,5.55,6.81,4.06,0.226,0.562,-0.136
5.6,5.6,5.6,5.595,5.37,6.84,3.77,0.194,0.564,-0.209,5.53,6.79,4.04,0.22,0.554,-0.14
5.7,5.7,5.7,5.694,5.16,6.57,3.59,0.158,0.509,-0.245,5.5,6.75,4.02,0.213,0.545,-0.146
5.8,5.8,5.8,5.793,5.07,6.39,3.57,0.144,0.469,-0.24,5.46,6.71,3.98,0.204,0.534,-0.152
5.9,5.9,5.9,5.892,5.11,6.34,3.68,0.153,0.457,-0.207,5.42,6.66,3.95,0.196,0.523,-0.159
6,6,6,5.99,5.19,6.38,3.78,0.167,0.464,-0.168,5.39,6.62,3.92,0.188,0.511,-0.165
6.1,6.1,6.1,6.099,5.24,6.41,3.82,0.174,0.468,-0.157,5.36,6.58,3.89,0.181,0.5,-0.17
6.2,6.2,6.2,6.213,5.25,6.38,3.83,0.174,0.466,-0.152,5.33,6.54,3.87,0.174,0.489,-0.173
6.3,6.3,6.3,6.302,5.23,6.32,3.85,0.168,0.452,-0.16,5.31,6.52,3.86,0.169,0.481,-0.175
6.4,6.4,6.4,6.364,5.25,6.33,3.83,0.163,0.456,-0.169,5.31,6.51,3.86,0.166,0.475,-0.176
6.5,6.5,6.5,6.459,5.3,6.43,3.89,0.162,0.471,-0.161,5.32,6.51,3.88,0.164,0.471,-0.174
6.6,6.6,6.6,6.574,5.34,6.51,3.9,0.161,0.472,-0.16,5.34,6.53,3.91,0.165,0.47,-0.17
6.7,6.7,6.7,6.689,5.36,6.5,3.96,0.158,0.46,-0.159,5.38,6.57,3.95,0.167,0.472,-0.164
6.8,6.8,6.8,6.789,5.32,6.45,3.92,0.148,0.443,-0.177,5.43,6.62,4,0.171,0.477,-0.158
6.9,6.9,6.9,6.882,5.25,6.41,3.83,0.135,0.431,-0.198,5.5,6.68,4.06,0.176,0.485,-0.15
7,7,7,6.974,5.22,6.38,3.76,0.129,0.42,-0.214,5.57,6.76,4.13,0.183,0.494,-0.142
7.1,7.1,7.1,7.067,5.26,6.46,3.81,0.135,0.426,-0.203,5.64,6.84,4.2,0.192,0.504,-0.133
7.2,7.2,7.2,7.196,5.4,6.6,3.96,0.159,0.453,-0.176,5.72,6.93,4.27,0.202,0.516,-0.123
7.3,7.3,7.3,7.318,5.62,6.82,4.15,0.191,0.498,-0.14,5.81,7.02,4.35,0.213,0.529,-0.114
7.4,7.4,7.4,7.408,5.82,7.08,4.36,0.212,0.54,-0.103,5.89,7.12,4.42,0.226,0.543,-0.104
7.5,7.5,7.5,7.51,5.98,7.3,4.49,0.22,0.569,-0.087,5.98,7.22,4.49,0.239,0.558,-0.093
7.6,7.6,7.6,7.608,6.11,7.45,4.63,0.226,0.587,-0.076,6.06,7.31,4.56,0.253,0.574,-0.083
7.7,7.7,7.7,7.706,6.26,7.56,4.8,0.239,0.593,-0.058,6.14,7.41,4.63,0.266,0.59,-0.073
7.8,7.8,7.8,7.809,6.43,7.69,4.98,0.271,0.615,-0.036,6.22,7.5,4.69,0.28,0.607,-0.063
7.9,7.9,7.9,7.911,6.63,7.84,5.19,0.318,0.647,-0.003,6.29,7.59,4.75,0.294,0.625,-0.053
8,8,8,8.014,6.78,7.95,5.3,0.36,0.672,0.022,6.36,7.67,4.8,0.306,0.641,-0.044
8.1,8.1,8.1,8.117,6.82,8.04,5.25,0.382,0.691,0.021,6.43,7.75,4.84,0.319,0.658,-0.037
8.2,8.2,8.2,8.208,6.8,8.11,5.14,0.394,0.704,0.012,6.48,7.82,4.88,0.329,0.673,-0.031
8.3,8.3,8.3,8.3,6.74,8.12,5,0.397,0.711,-0.01,6.52,7.89,4.9,0.338,0.686,-0.028
8.4,8.4,8.4,8.4,6.66,8.07,4.98,0.389,0.709,-0.006,6.55,7.94,4.9,0.345,0.698,-0.029
8.5,8.501,8.501,8.501,6.59,8.02,4.97,0.376,0.725,-0.002,6.57,7.98,4.88,0.349,0.708,-0.033
8.6,8.601,8.601,8.601,6.53,7.91,4.89,0.363,0.723,-0.021,6.58,8.02,4.85,0.352,0.717,-0.04
8.7,8.702,8.702,8.702,6.52,7.94,4.86,0.356,0.736,-0.027,6.58,8.06,4.81,0.352,0.725,-0.051
8.8,8.802,8.802,8.802,6.56,8.02,4.8,0.365,0.752,-0.037,6.57,8.09,4.75,0.35,0.731,-0.064
8.9,8.904,8.904,8.904,6.63,8.14,4.82,0.384,0.768,-0.022,6.56,8.12,4.69,0.346,0.737,-0.08
9,9.006,9.006,9.006,6.68,8.23,4.85,0.396,0.777,-0.015,6.55,8.15,4.62,0.34,0.741,-0.098
9.1,9.107,9.107,9.107,6.65,8.22,4.83,0.386,0.77,-0.022,6.53,8.17,4.56,0.332,0.743,-0.117
9.2,9.203,9.203,9.203,6.54,8.12,4.73,0.35,0.754,-0.05,6.52,8.2,4.49,0.323,0.744,-0.137
9.3,9.299,9.299,9.299,6.39,8.02,4.57,0.302,0.73,-0.098,6.5,8.22,4.42,0.312,0.743,-0.158
9.4,9.415,9.415,9.415,6.3,8.03,4.2,0.276,0.722,-0.193,6.48,8.23,4.35,0.301,0.739,-0.178
9.5,9.507,9.507,9.507,6.28,8.21,3.9,0.271,0.745,-0.274,6.45,8.24,4.28,0.288,0.732,-0.199
9.6,9.597,9.597,9.597,6.34,8.39,3.81,0.28,0.779,-0.312,6.42,8.23,4.21,0.274,0.723,-0.22
9.7,9.7,9.7,9.7,6.46,8.51,3.93,0.288,0.788,-0.309,6.38,8.21,4.14,0.259,0.71,-0.24
9.8,9.806,9.806,9.806,6.54,8.56,3.99,0.281,0.769,-0.306,6.34,8.17,4.08,0.244,0.694,-0.259
9.9,9.904,9.904,9.904,6.59,8.59,4.03,0.256,0.751,-0.325,6.28,8.12,4.02,0.227,0.676,-0.277
10,9.997,9.997,9.997,6.56,8.54,4.06,0.22,0.723,-0.32,6.22,8.06,3.96,0.21,0.654,-0.294
10.1,10.099,10.099,10.099,6.48,8.44,3.99,0.19,0.694,-0.328,6.16,7.99,3.91,0.192,0.631,-0.31
10.2,10.201,10.201,10.201,6.36,8.41,3.82,0.169,0.688,-0.359,6.1,7.9,3.87,0.174,0.606,-0.323
10.3,10.303,10.303,10.303,6.22,8.2,3.74,0.152,0.636,-0.37,6.03,7.81,3.84,0.156,0.579,-0.333
10.4,10.404,10.404,10.404,6.08,7.99,3.58,0.141,0.594,-0.393,5.97,7.72,3.82,0.137,0.552,-0.34
10.5,10.506,10.506,10.506,5.9,7.72,3.63,0.127,0.538,-0.368,5.91,7.61,3.81,0.119,0.523,-0.344
10.6,10.608,10.608,10.608,5.72,7.36,3.66,0.108,0.466,-0.357,5.84,7.5,3.8,0.101,0.493,-0.346
10.7,10.71,10.71,10.71,5.55,7.06,3.68,0.087,0.408,-0.352,5.78,7.39,3.81,0.084,0.463,-0.346
10.8,10.812,10.812,10.812,5.41,6.81,3.73,0.063,0.353,-0.338,5.71,7.27,3.81,0.066,0.433,-0.344
10.9,10.913,10.913,10.913,5.34,6.76,3.7,0.039,0.327,-0.345,5.65,7.15,3.82,0.05,0.403,-0.343
11,11.015,11.015,11.015,5.3,6.72,3.66,0.01,0.319,-0.369,5.58,7.03,3.83,0.034,0.373,-0.341
11.1,11.125,11.125,11.125,5.29,6.75,3.63,-0.018,0.323,-0.39,5.51,6.91,3.83,0.019,0.345,-0.34
11.2,11.234,11.234,11.234,5.32,6.71,3.74,-0.034,0.298,-0.376,5.45,6.8,3.83,0.005,0.318,-0.338
11.3,11.335,11.335,11.335,5.38,6.63,3.91,-0.042,0.265,-0.335,5.4,6.7,3.84,-0.008,0.293,-0.337
11.4,11.436,11.436,11.436,5.44,6.62,4.04,-0.047,0.25,-0.307,5.35,6.61,3.84,-0.02,0.271,-0.336
11.5,11.537,11.537,11.537,5.49,6.57,4.18,-0.045,0.237,-0.277,5.31,6.53,3.85,-0.031,0.25,-0.335
11.6,11.642,11.642,11.642,5.48,6.55,4.22,-0.046,0.233,-0.267,5.27,6.46,3.85,-0.041,0.231,-0.335
11.7,11.741,11.741,11.741,5.43,6.5,4.17,-0.049,0.225,-0.274,5.24,6.41,3.85,-0.051,0.213,-0.337
11.8,11.839,11.839,11.839,5.34,6.39,4.08,-0.051,0.21,-0.293,5.21,6.36,3.85,-0.062,0.196,-0.34
11.9,11.937,11.937,11.937,5.17,6.2,3.91,-0.067,0.181,-0.324,5.18,6.31,3.84,-0.074,0.177,-0.346
12,12.035,12.035,12.035,4.97,5.96,3.72,-0.095,0.126,-0.358,5.15,6.27,3.83,-0.087,0.159,-0.353
12.1,12.154,12.154,12.154,4.79,5.85,3.55,-0.122,0.11,-0.381,5.13,6.24,3.81,-0.101,0.139,-0.362
12.2,12.264,12.264,12.264,4.78,5.84,3.51,-0.119,0.099,-0.388,5.1,6.2,3.8,-0.115,0.12,-0.372
12.3,12.362,12.362,12.362,5,6.07,3.69,-0.071,0.135,-0.351,5.09,6.18,3.79,-0.13,0.101,-0.384
12.4,12.459,12.459,12.459,5.2,6.34,3.91,-0.032,0.17,-0.317,5.09,6.18,3.78,-0.144,0.083,-0.395
12.5,12.544,12.544,12.544,5.26,6.4,3.98,-0.037,0.155,-0.322,5.1,6.19,3.79,-0.157,0.067,-0.406
12.6,12.627,12.627,12.627,5.13,6.27,3.83,-0.092,0.097,-0.372,5.12,6.21,3.81,-0.169,0.052,-0.417
12.7,12.71,12.71,12.71,4.88,6.04,3.6,-0.182,0.021,-0.438,5.16,6.25,3.84,-0.181,0.038,-0.427
12.8,12.808,12.808,12.808,4.69,5.82,3.38,-0.267,-0.055,-0.511,5.21,6.3,3.89,-0.192,0.024,-0.437
12.9,12.91,12.91,12.91,4.66,5.75,3.32,-0.322,-0.1,-0.548,5.27,6.35,3.94,-0.205,0.01,-0.447
13,13.016,13.016,13.016,4.77,5.84,3.4,-0.341,-0.116,-0.56,5.33,6.41,3.99,-0.218,-0.004,-0.458
13.1,13.108,13.108,13.108,4.97,6.07,3.6,-0.339,-0.102,-0.55,5.4,6.48,4.06,-0.232,-0.018,-0.468
13.2,13.199,13.199,13.199,5.24,6.33,3.83,-0.322,-0.078,-0.535,5.48,6.56,4.13,-0.246,-0.031,-0.479
13.3,13.296,13.296,13.296,5.56,6.63,4.16,-0.285,-0.052,-0.5,5.58,6.65,4.22,-0.259,-0.043,-0.488
13.4,13.395,13.395,13.395,5.92,6.97,4.59,-0.233,-0.013,-0.44,5.69,6.76,4.32,-0.271,-0.053,-0.496
13.5,13.499,13.499,13.499,6.25,7.27,4.86,-0.188,0.02,-0.415,5.81,6.88,4.44,-0.28,-0.061,-0.502
13.6,13.603,13.603,13.603,6.41,7.43,5.02,-0.174,0.024,-0.408,5.95,7.01,4.57,-0.288,-0.067,-0.507
13.7,13.704,13.704,13.704,6.33,7.35,4.96,-0.209,-0.021,-0.443,6.09,7.15,4.7,-0.293,-0.072,-0.51
13.8,13.8,13.8,13.8,6.05,7.08,4.69,-0.292,-0.105,-0.527,6.24,7.3,4.85,-0.298,-0.076,-0.514
13.9,13.891,13.891,13.891,5.77,6.81,4.4,-0.389,-0.189,-0.614,6.38,7.44,4.98,-0.304,-0.081,-0.52
14,13.983,13.983,13.983,5.78,6.82,4.4,-0.435,-0.213,-0.64,6.52,7.58,5.11,-0.311,-0.088,-0.527
14.1,14.075,14.075,14.075,6.16,7.23,4.76,-0.411,-0.169,-0.601,6.64,7.7,5.23,-0.32,-0.098,-0.538
14.2,14.17,14.17,14.17,6.74,7.8,5.32,-0.345,-0.093,-0.529,6.75,7.81,5.33,-0.332,-0.11,-0.55
14.3,14.285,14.285,14.285,7.31,8.41,5.87,-0.278,-0.02,-0.469,6.85,7.91,5.43,-0.346,-0.123,-0.564
14.4,14.4,14.4,14.4,7.67,8.78,6.21,-0.25,0.01,-0.449,6.95,8.01,5.52,-0.359,-0.135,-0.577
14.5,14.516,14.516,14.516,7.82,8.88,6.39,-0.257,-0.014,-0.465,7.05,8.12,5.61,-0.372,-0.146,-0.589
14.6,14.625,14.625,14.625,7.84,8.86,6.38,-0.278,-0.06,-0.504,7.15,8.22,5.71,-0.382,-0.155,-0.599
14.7,14.706,14.706,14.706,7.74,8.78,6.33,-0.317,-0.111,-0.548,7.26,8.33,5.81,-0.389,-0.162,-0.606
14.8,14.791,14.791,14.791,7.46,8.53,6.04,-0.39,-0.186,-0.627,7.36,8.44,5.91,-0.394,-0.167,-0.611
14.9,14.894,14.894,14.895,7.11,8.24,5.64,-0.489,-0.275,-0.743,7.46,8.54,6,-0.397,-0.172,-0.616
15,14.999,14.999,15.005,6.94,8.1,5.42,-0.557,-0.336,-0.816,7.54,8.62,6.07,-0.4,-0.178,-0.621
15.1,15.1,15.1,15.118,6.96,8.09,5.47,-0.592,-0.369,-0.835,7.61,8.67,6.12,-0.404,-0.185,-0.627
15.2,15.2,15.2,15.226,7.27,8.32,5.83,-0.572,-0.351,-0.781,7.65,8.71,6.15,-0.409,-0.195,-0.635
15.3,15.3,15.3,15.325,7.74,8.8,6.29,-0.508,-0.269,-0.695,7.68,8.73,6.17,-0.416,-0.206,-0.645
15.4,15.4,15.4,15.424,8.11,9.2,6.62,-0.443,-0.187,-0.622,7.69,8.75,6.18,-0.423,-0.217,-0.654
15.5,15.5,15.5,15.523,8.33,9.41,6.81,-0.377,-0.131,-0.567,7.71,8.76,6.18,-0.43,-0.227,-0.662
15.6,15.6,15.6,15.623,8.46,9.53,6.91,-0.318,-0.093,-0.532,7.73,8.77,6.19,-0.435,-0.234,-0.669
15.7,15.7,15.7,15.722,8.42,9.48,6.86,-0.292,-0.087,-0.521,7.75,8.8,6.2,-0.439,-0.239,-0.673
15.8,15.8,15.8,15.821,8.17,9.21,6.61,-0.308,-0.132,-0.559,7.78,8.83,6.21,-0.44,-0.241,-0.675
15.9,15.9,15.9,15.921,7.82,8.78,6.26,-0.355,-0.218,-0.624,7.81,8.86,6.23,-0.44,-0.24,-0.677
16,16,16,16.018,7.46,8.38,5.87,-0.426,-0.304,-0.703,7.85,8.9,6.24,-0.437,-0.238,-0.678
16.1,16.1,16.1,16.108,7.23,8.17,5.61,-0.487,-0.359,-0.771,7.88,8.93,6.23,-0.433,-0.234,-0.679
16.2,16.2,16.2,16.199,7.28,8.24,5.63,-0.511,-0.368,-0.786,7.9,8.96,6.22,-0.427,-0.229,-0.682
16.3,16.3,16.3,16.343,7.52,8.5,5.86,-0.51,-0.338,-0.762,7.93,8.99,6.19,-0.419,-0.222,-0.687
16.4,16.4,16.4,16.399,7.86,8.93,6.24,-0.486,-0.27,-0.708,7.95,9.02,6.15,-0.41,-0.213,-0.692
16.5,16.5,16.5,16.473,8.15,9.23,6.53,-0.461,-0.225,-0.665,7.97,9.05,6.11,-0.399,-0.202,-0.697
16.6,16.6,16.6,16.566,8.26,9.37,6.61,-0.454,-0.206,-0.659,7.99,9.08,6.06,-0.387,-0.188,-0.702
16.7,16.7,16.7,16.625,8.17,9.32,6.45,-0.463,-0.22,-0.692,8.03,9.13,6.02,-0.372,-0.171,-0.705
16.8,16.8,16.8,16.716,7.95,9.12,6.18,-0.481,-0.251,-0.739,8.06,9.18,5.98,-0.355,-0.152,-0.707
16.9,16.9,16.9,16.817,7.78,8.94,5.9,-0.482,-0.267,-0.781,8.11,9.23,5.95,-0.337,-0.131,-0.707
17,17,17,16.918,7.85,9.03,5.77,-0.429,-0.219,-0.775,8.15,9.29,5.92,-0.319,-0.11,-0.706
17.1,17.1,17.1,17.018,8.14,9.25,5.78,-0.33,-0.135,-0.743,8.19,9.34,5.88,-0.301,-0.089,-0.704
17.2,17.2,17.2,17.119,8.46,9.61,5.76,-0.225,-0.021,-0.715,8.22,9.38,5.85,-0.284,-0.07,-0.702
17.3,17.3,17.3,17.222,8.69,9.9,5.78,-0.134,0.087,-0.688,8.25,9.41,5.82,-0.268,-0.052,-0.7
17.4,17.4,17.4,17.327,8.72,9.95,5.81,-0.082,0.138,-0.657,8.27,9.45,5.8,-0.252,-0.035,-0.695
17.5,17.5,17.5,17.431,8.62,9.91,5.69,-0.062,0.156,-0.655,8.3,9.48,5.79,-0.237,-0.018,-0.688
17.6,17.6,17.6,17.527,8.49,9.73,5.61,-0.062,0.128,-0.651,8.34,9.52,5.8,-0.221,0,-0.677
17.7,17.7,17.7,17.618,8.41,9.62,5.53,-0.072,0.115,-0.66,8.38,9.56,5.83,-0.204,0.018,-0.661
17.8,17.8,17.8,17.739,8.42,9.58,5.58,-0.092,0.099,-0.65,8.42,9.61,5.89,-0.187,0.037,-0.642
17.9,17.9,17.9,17.844,8.38,9.56,5.58,-0.142,0.083,-0.655,8.47,9.66,5.96,-0.17,0.054,-0.62
18,18,18,17.948,8.19,9.34,5.43,-0.227,0.016,-0.702,8.52,9.7,6.04,-0.155,0.07,-0.595
18.1,18.1,18.1,18.053,7.95,9.05,5.15,-0.314,-0.067,-0.781,8.56,9.74,6.13,-0.143,0.083,-0.57
18.2,18.2,18.2,18.158,7.9,8.98,5.27,-0.343,-0.109,-0.783,8.59,9.76,6.21,-0.133,0.092,-0.545
18.3,18.3,18.3,18.262,8.05,9.22,5.69,-0.316,-0.066,-0.7,8.61,9.77,6.3,-0.126,0.098,-0.521
18.4,18.4,18.4,18.367,8.48,9.69,6.45,-0.222,0.026,-0.537,8.62,9.77,6.38,-0.121,0.101,-0.499
18.5,18.5,18.5,18.472,9,10.25,7.13,-0.109,0.147,-0.382,8.63,9.76,6.45,-0.116,0.104,-0.477
18.6,18.6,18.6,18.544,9.33,10.59,7.45,-0.032,0.235,-0.308,8.63,9.76,6.52,-0.112,0.106,-0.455
18.7,18.7,18.7,18.606,9.44,10.65,7.59,0.007,0.269,-0.258,8.63,9.75,6.59,-0.107,0.109,-0.434
18.8,18.8,18.8,18.684,9.4,10.55,7.61,0.026,0.266,-0.233,8.62,9.74,6.64,-0.102,0.112,-0.415
18.9,18.9,18.9,18.776,9.23,10.33,7.51,0.025,0.235,-0.231,8.61,9.72,6.69,-0.097,0.114,-0.398
19,19,19,18.869,8.95,9.98,7.29,-0.003,0.177,-0.247,8.58,9.69,6.71,-0.095,0.115,-0.385
19.1,19.1,19.1,18.961,8.65,9.62,7.01,-0.038,0.119,-0.291,8.54,9.64,6.71,-0.095,0.112,-0.377
19.2,19.2,19.2,19.053,8.44,9.4,6.73,-0.063,0.094,-0.332,8.47,9.57,6.68,-0.099,0.106,-0.374
19.3,19.3,19.3,19.145,8.29,9.27,6.57,-0.082,0.075,-0.355,8.39,9.47,6.62,-0.108,0.095,-0.377
19.4,19.4,19.4,19.238,8.26,9.28,6.53,-0.08,0.084,-0.354,8.28,9.36,6.53,-0.121,0.08,-0.386
19.5,19.5,19.5,19.33,8.33,9.41,6.6,-0.057,0.118,-0.33,8.16,9.23,6.43,-0.137,0.062,-0.399
19.6,19.6,19.6,19.422,8.4,9.52,6.62,-0.037,0.151,-0.324,8.04,9.1,6.31,-0.154,0.043,-0.415
19.7,19.7,19.7,19.515,8.31,9.45,6.55,-0.055,0.137,-0.338,7.92,8.97,6.2,-0.17,0.024,-0.431
19.8,19.8,19.8,19.644,8.07,9.2,6.29,-0.119,0.081,-0.395,7.81,8.85,6.09,-0.185,0.006,-0.445
19.9,19.9,19.9,19.784,7.7,8.8,5.97,-0.219,0.001,-0.475,7.71,8.75,6,-0.198,-0.008,-0.457
20,20,20,19.923,7.27,8.35,5.55,-0.327,-0.088,-0.569,7.63,8.66,5.92,-0.208,-0.02,-0.467
20.1,20.1,20.1,20.049,6.92,7.97,5.24,-0.407,-0.172,-0.633,7.56,8.59,5.86,-0.216,-0.03,-0.475
20.2,20.2,20.2,20.167,6.67,7.72,4.97,-0.455,-0.22,-0.684,7.5,8.53,5.81,-0.224,-0.038,-0.482
20.3,20.3,20.3,20.284,6.54,7.56,4.84,-0.461,-0.244,-0.706,7.46,8.48,5.76,-0.23,-0.046,-0.487
20.4,20.4,20.4,20.402,6.61,7.61,4.94,-0.413,-0.227,-0.661,7.42,8.44,5.73,-0.236,-0.053,-0.492
20.5,20.5,20.5,20.52,6.88,7.89,5.24,-0.325,-0.158,-0.582,7.4,8.41,5.71,-0.24,-0.059,-0.496
