Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
0.1,0.1,0.099,0.099,0.07,1.24,-1.32,0.093,0.443,-0.251,0.07,1.26,-1.31,0.159,0.492,-0.201
0.2,0.2,0.198,0.198,0.02,1.2,-1.37,0.087,0.435,-0.258,0.2,1.4,-1.19,0.161,0.496,-0.198
0.3,0.3,0.297,0.297,0.08,1.25,-1.32,0.108,0.445,-0.244,0.33,1.53,-1.06,0.164,0.5,-0.195
0.4,0.4,0.396,0.396,0.29,1.47,-1.1,0.164,0.487,-0.198,0.46,1.66,-0.94,0.166,0.504,-0.192
0.5,0.5,0.495,0.495,0.63,1.81,-0.76,0.24,0.548,-0.135,0.59,1.8,-0.82,0.168,0.508,-0.189
0.6,0.6,0.594,0.594,0.98,2.25,-0.44,0.3,0.619,-0.085,0.72,1.94,-0.69,0.171,0.512,-0.186
0.7,0.7,0.693,0.693,1.27,2.56,-0.19,0.323,0.656,-0.057,0.85,2.07,-0.57,0.174,0.517,-0.182
0.8,0.8,0.795,0.795,1.45,2.73,-0.01,0.303,0.655,-0.059,0.98,2.21,-0.44,0.178,0.521,-0.178
0.9,0.9,0.908,0.908,1.52,2.79,0.07,0.256,0.624,-0.088,1.12,2.35,-0.31,0.182,0.527,-0.174
1,1,1.018,1.018,1.47,2.72,0.05,0.195,0.567,-0.134,1.25,2.49,-0.18,0.186,0.533,-0.169
1.1,1.1,1.107,1.107,1.35,2.56,-0.03,0.13,0.495,-0.186,1.39,2.64,-0.05,0.191,0.539,-0.164
1.2,1.2,1.235,1.235,1.22,2.45,-0.2,0.076,0.443,-0.251,1.53,2.78,0.08,0.197,0.546,-0.159
1.3,1.3,1.328,1.328,1.14,2.38,-0.31,0.043,0.404,-0.295,1.67,2.93,0.21,0.201,0.552,-0.154
1.4,1.4,1.422,1.422,1.16,2.41,-0.27,0.035,0.393,-0.307,1.8,3.07,0.34,0.204,0.558,-0.15
1.5,1.5,1.515,1.515,1.29,2.58,-0.17,0.054,0.413,-0.297,1.94,3.21,0.47,0.207,0.563,-0.147
1.6,1.6,1.609,1.609,1.61,2.89,0.15,0.113,0.464,-0.244,2.07,3.35,0.59,0.209,0.567,-0.147
1.7,1.7,1.702,1.702,2.08,3.29,0.65,0.2,0.536,-0.153,2.2,3.49,0.71,0.21,0.569,-0.148
1.8,1.8,1.796,1.796,2.58,3.83,1.13,0.287,0.634,-0.066,2.33,3.62,0.83,0.211,0.571,-0.15
1.9,1.9,1.891,1.891,2.98,4.3,1.49,0.352,0.714,-0.01,2.46,3.77,0.94,0.211,0.573,-0.152
2,2,1.99,1.99,3.15,4.48,1.6,0.365,0.73,-0.006,2.6,3.91,1.07,0.212,0.576,-0.154
2.1,2.1,2.092,2.092,3.12,4.46,1.56,0.34,0.709,-0.035,2.74,4.07,1.19,0.212,0.58,-0.155
2.2,2.2,2.21,2.21,3.09,4.44,1.51,0.313,0.675,-0.068,2.88,4.22,1.32,0.212,0.583,-0.158
2.3,2.3,2.315,2.315,3.11,4.44,1.55,0.292,0.649,-0.086,3.02,4.37,1.44,0.211,0.584,-0.162
2.4,2.4,2.42,2.42,3.19,4.54,1.65,0.276,0.629,-0.105,3.15,4.51,1.56,0.206,0.582,-0.169
2.5,2.5,2.525,2.525,3.3,4.66,1.72,0.251,0.602,-0.138,3.26,4.63,1.66,0.198,0.577,-0.179
2.6,2.6,2.628,2.628,3.37,4.75,1.74,0.204,0.563,-0.191,3.36,4.74,1.75,0.187,0.567,-0.192
2.7,2.7,2.721,2.721,3.45,4.89,1.75,0.156,0.545,-0.241,3.45,4.83,1.83,0.172,0.553,-0.208
2.8,2.8,2.815,2.815,3.57,5.04,1.86,0.124,0.543,-0.265,3.52,4.91,1.9,0.154,0.535,-0.227
2.9,2.9,2.908,2.908,3.76,5.22,2.09,0.113,0.546,-0.252,3.59,4.98,1.96,0.134,0.515,-0.247
3,3,3.002,3.002,3.95,5.39,2.24,0.112,0.552,-0.252,3.64,5.03,2.01,0.113,0.494,-0.268
3.1,3.1,3.1,3.1,4.04,5.44,2.34,0.103,0.529,-0.264,3.7,5.08,2.07,0.092,0.472,-0.287
3.2,3.2,3.2,3.2,4.01,5.41,2.33,0.078,0.487,-0.298,3.75,5.14,2.13,0.073,0.452,-0.303
3.3,3.3,3.3,3.3,3.87,5.28,2.18,0.039,0.423,-0.353,3.82,5.19,2.2,0.057,0.433,-0.317
3.4,3.4,3.4,3.4,3.74,5.16,2.06,0,0.368,-0.406,3.88,5.25,2.28,0.044,0.418,-0.327
3.5,3.5,3.5,3.5,3.69,5.1,2.03,-0.027,0.327,-0.435,3.96,5.32,2.37,0.035,0.406,-0.333
